ID(time sequential),prolific_ID,"ismanual
(0 = optimizer-driven condition; 1 = manual condition)",variable_input,variable_bounds,objective_input,objectivebounds,objective_min/max,chosen_solution(the index of the solution user chose),"Is there more than one ""best solution"" displayed on the result page?","If you have to choose only one solution, which one of the ""best solutions"" will you choose? Please write the name of that solution.",Why did you choose that solution?,Can you describe your experience approaching the optimization task in this study?,We know the optimization task shall be under a diet scenario. But please describe the optimization task you specified in your own words.,Variable,Objective,Do you feel it difficult to specify the variables or objectives during the study?,Can you explain the reason for feeling difficult?,Categories_Why_Feel_Difficult,Satisfy_specify,Confidence_specify,Agency_specify,Why do you feel you are unsatisfied with your specification?,Why are you not confident that your specifications are reasonable for your optimization task?,Why do you feel not very involved in specifying?,Categories_low_ratings_specify,Can you describe your understanding towards the relationship between variables and objectives?,Do you think your objectives are logical for your variables?,Please explain why you don't think they are logical.,Satisfy_optimize,Confidence_optimize,Agency_optimize,Why do you feel you are unsatisfied with the optimization process?,Why do you feel you are not very confident for your optimization process?,Why do you feel you were not very involved in the optimization process?,Categories_low_ratings_optimize,Satisfy_result,Confidence_result,Agency_result,Why do you feel you are unsatisfied with the optimization results you got?,Why do you feel you are not very confident that the final result is optimal?,Why do you feel you were not very involved with getting the optimal result?,Categories_low_ratings_result,"When using our tool, were there any specific features that you wanted and are missing?",Please describe the features you want.,What steps were unclear to you? You can select multiple.:Tutorial,What steps were unclear to you? You can select multiple.:Specify,What steps were unclear to you? You can select multiple.:Optimize,What steps were unclear to you? You can select multiple.:Get results,"What steps were unclear to you? You can select multiple.:No, I feel all are very clear and easy to understand.",Can you tell more about the reason(s)?,Do you have any experience working with optimization problems?:I worked with optimization problems in design-related tasks.,Do you have any experience working with optimization problems?:I worked with optimization problems in engineering tasks.,Do you have any experience working with optimization problems?:I worked with optimization problems in science research.,Do you have any experience working with optimization problems?:I worked with optimization problems for financial-related scenarios.,Do you have any experience working with optimization problems?:Other (Please specify),"Do you have any experience working with optimization problems?:No, I don't have any experience.",Do you have any experience working with optimization problems?:Other (Please specify) Open text answers,"Then, can you briefly explain the optimization problem you worked with in your past experience?","Do you think you can use this tool to solve your optimization problem? If yes, please describe the variables and objectives. If not, please explain why you can't solve the optimization problem using this tool.",Categories_why_cant_use_this_tool_solve_their_problems,"Do you think you can use this tool to solve your optimization problem? If yes, please describe the variables and objectives. If not, please explain why you can't solve the optimization problem using this tool. Open text answers",Can you specify the variables and objectives for your optimization problem?:Variables,Can you specify the variables and objectives for your optimization problem?:Objectives,"Categories_of_specifications
(3 categories:
Reasonable;
Unreasonable: directly mapping;
overlaps;
Incomplete;
Not sure)","Can you come up with another example in your daily life or work (excluding diet and tutorial examples) where you could benefit from using this tool? If yes, please briefly describe the example. If you can't, please also explain why you find it challenging to come up with an example.","Can you come up with another example in your daily life or work (excluding diet and tutorial examples) where you could benefit from using this tool? If yes, please briefly describe the example. If you can't, please also explain why you find it challenging to come up with an example. Open text answers",Categories_why_cant_find_another_example,"Can you specify the ""Variables"" and ""Objectives"" for that example you came up with?","Categories_of_specifications
(
Reasonable - 1;
Unreasonable - 4: directly mapping;
overlaps;
Incomplete - 2
Not sure - 3)",Do you have more comments about this tool?,What's your educational background?,What's your educational background? Open text answers,Do you have any knowledge related to optimization algorithms in math or computer science?,Do you have any knowledge related to optimization algorithms in math or computer science? Open text answers
654,5dfe7de0bf3d4eb1cc979a7a,1,"""Calories/kcal""","[200, 1200]","""Healthiness""","[0, 100]",['maximize'],"""""",No,,,I wanted a diet plan that has the least amount of calories but is also the most healthy.,I wanted a diet plan that has the least amount of calories but is also the most healthy.,['Calories'],['Healthiness'],"Yes, both specifying variables and specifying objectives are difficult for me.",I couldn't think of anything other than what i specified.,Hard to come up with variables,6,7,6,,,,,Well it chooses the maximum of the varible while also taking the optimization into the consideration.,Yes,,6,6,6,,,,,7,7,7,,,,,Yes,Maybe AI generated suggestions for variables and objectives.,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,"Yeah, i could use it for meal prepping more healthy meals.",,Same as in my diet task.,,,High school graduate,,No,
660,669c1ff536eeb8c957b7f1bf,1,"""energy value of food/kcal,protein,vitamins,fat,carbohydrates""","[1200, 2000, 20, 200, 20, 500, 10, 100, 10, 100]","""hunger,feeling energetic""","[10, 1000, 10, 1000]","['minimize', 'maximize']","""0""",Yes,Solution 1,It has the smallest amount of calories.,I focused on what is most important during diet from my own experience.,I focused on feeling healthy during diet while minimizing hunger,"['energy value of food', 'protein', 'vitamins', 'fat', 'carbohydrates']","['hunger', 'feeling energetic']","Yes, both specifying variables and specifying objectives are difficult for me.",I had to focus on naming and including everything that is important during diet.,"1. Hard to come up with variables
2. Hard to come up with objectives
3. Hard to name variables/objectives",6,7,6,,,,,"Variables are values, names of something that the task includes. Objectives pertain to what the user wants to achieve by naming and adjusting variables.",Yes,,6,7,7,,,,,5,6,5,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,No,Coming with variables and objectives is difficult.,Can't come up with another scenario as vairables and objective are hard,,,I don't have any comments.,High school graduate,,No,
665,5eceef5fa487421604c337ba,1,"""Caloric Intake/kcal,Proteins/%""","[1200, 2500, 10, 35]","""Weight loss/kg,Nutrient Density/%""","[1, 2, 100, 150]","['minimize', 'maximize']","""9""",Yes,Solution 10,Because it results to more lose weight while keep the proteins high,I tried to figure out how I could combine variables and objectives so I would get the best optimazion for my task,"I thought about what things I should do to loss weight, and how I can do that in a healthy way,","['Caloric Intake', 'Proteins']","['Weight loss', 'Nutrient Density']","No, all are easy for me.",,,6,6,6,,,,,"In a weight loss diet, the relationship between variables such as protein intake and caloric consumption directly influences the objective of achieving weight loss by optimizing nutrient balance and satiety.",Yes,,6,6,6,,,,,5,6,5,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,Managing a project at work.,,"Variables: Team collaboration (communication frequency) and project deadlines.
Objectives: Improve project completion time and enhance team satisfaction.",1,No,MA degree,,No,
675,668d59d6c374e2043efdf495,1,"""Calorie input,Weight/kg""","[1600, 2000, 50, 65]","""Weight loss/kg,Healthy lifestyle""","[5, 15, 10, 20]","['minimize', 'minimize']","""""",No,,,I wanted to give realistic goals for the diet,Task to weigh the best options and goals,"['Calorie input', 'Weight']","['Weight loss', 'Healthy lifestyle']","Yes, specifying variables is difficult for me.",Unsure what the best way to monitor would be,Hard to come up with variables,5,6,6,,,,,If one is monitored the other should reflect a positive outcome,Yes,,6,6,6,,,,,3,3,2,Unsure how that was the best result,Due to the calorie intake being highest,It was not my choice,"Doubt about the clarity and effectiveness of the result
Preference for Results Outside of Pareto Front Selection",No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,Screentime goal,,Screen time length and increase in sleep quality,2,It could be a bit more appealing to the eye,High school graduate,,No,
682,60365639219b964d424581d6,0,"""weight,caloric intake""","[51, 55, 1500, 1700]","""Whole food ingredients/count the number of plants consumed per week,Eat enough calories/per day,Cost effective meals/Rands per week ""","[105, 110, 1500, 1700, 1000, 2000]","['minimize', 'minimize', 'minimize']","""1""",Yes,"I'll choose number 2 as suggested as it appears more reasonable to me. The cost more or less matches the caloric intake. If caloric intake is higher, then cost should be higher as well and this is not the case with solution 5",It makes more sense than solution 5,It was a bit difficult for me to come up with variable to achieve the objective but I chose those ones since they directly relate to losing weight in a healthy way.,"The optimisation measured the objectives and put it into numbers, with a minimum and maximum range so that it could optimise the range and choose the best number","['weight', 'caloric intake']","['Whole food ingredients', 'Eat enough calories', 'Cost effective meals']","Yes, specifying objectives is difficult for me.","I applied myself and thought of the things that makes sense to me when it comes to considering losing weight, in a healthy way, but it was difficult to put it into words",hard to name objectives,6,4,6,,,,,"The variable are used to measure and achieve the objectives, which is losing weight",Yes,,5,4,5,,,,,5,5,4,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,When youre indecisive about something it could help you decide if you list the variables,,It could help when youre busy studying and need to decide on whether or not what youre saying and the conclusion youre reaching is making sense or not,2,no,Others (Please specify),Post-graduate diploma,No,
686,5769a352f48c3b00016737f9,1,"""fat intake per meal/grams,caloric intake per meal/calories""","[10, 19, 350, 700]","""lose weight per week/pounds""","[1, 6]",['minimize'],"""9""",Yes,Solution 10,It had more minimized intakes of fat and calories.,It seems like more trouble than it's worth. It's awkward thinking of variables. I feel like my brain does much of this without me having to baby it like this.,"I tried to plan on eating healthy meals, based on fat and calories. I planned a losing a bit of weight each week.","['fat intake per meal', 'caloric intake per meal']",['lose weight per week'],"Yes, specifying variables is difficult for me.","The whole time I'm doing it, I'm thinking, Why am I taking the time to do this?",Don't know how to summarize,4,4,5,,,,,"Objectives are your goals, where you're trying to get too. Variables are the categories from which you operate.",Yes,,3,3,5,"With this process in particular, it seemed to difficult to go back and efficiently change data you may have mis-entered.",Mis-entered data.,,"1. The set specifications restrict subsequent actions
2. Can't summarize",4,3,5,,"Now that I know more about this process, I would have added variables like Overall Healthiness, Taste--but even then, how do I quantify those things in this system?",,"Realizing the specifications can be improved after finishing the optimization
",Yes,"Ease to repair mis-entered data, or to just go back and change to see what it looks like. At least 2 more examples of the entire process.",,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,I want to learn chess,Can't identify appropriate varibles for the problem he want to solve ,"No, and that's sort of the issue with me and this.",,no,High school graduate,,No,
689,667a004aec30bc6bcf44406f,0,"""Healthiness/percentage,Weight loss/kilos""","[0, 100, 0, 10]","""Flavour rating,Cost/euros""","[0, 10, 0, 100]","['maximize', 'minimize']","""9""",No,,,it was very easy to approach and very self-explanatory,i specified a task where i tried to get a healthy diet with good weight loss while keeping it flavorful and cost-effective,"['Healthiness', 'Weight loss']","['Flavour rating', 'Cost']","No, all are easy for me.",,,7,7,4,,,,,"i understood everything well, it was in order to specify which objectives i wanted the AI to achieve",Yes,,6,7,2,,,"everything was done by AI, i onli evaluated what it did",Feeling low agency in because of AI's role in the system,5,5,6,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,I worked with optimization problems in engineering tasks.,,,,,,"i work as an automation technic, my job is to optimize costs and time in industrial situations like production lines",No,not a problem solved by values/ numbers,"my optimization tasks are coding-related and design-related, an AI that makes up numbers could never realistically make improvements to that",,,,No,there is no task in my life that I would use an AI like this in. I am more than capable of optimizing daily tasks,prefer to trust own judgement,,,no,Technical/vocational training,,No,
694,6686e6b59dd2d0b9f4b4f531,0,"""Calories,Cost/euro""","[1, 100, 10, 1000]","""Weight /kg,Health""","[50, 100, 1, 100]","['minimize', 'maximize']","""10""",Yes,Solution 11,Costs a lot less for comparable results.,I was fairly confident about the task presented.,"My goal was to lose as much weight as possible without risking
health issues/","['Calories', 'Cost']","['Weight', 'Health']","Yes, specifying variables is difficult for me.",I wasn't sure which would be the most appropriate for a diet plan.,"1. Hard to come up with variables
",6,7,7,,,,,The AI provides solutions based on specified variables and their ranges to acheive the objectives.,Yes,,6,6,6,,,,,6,5,5,,,,,No,,Tutorial,,,,,At least one tutorial video wouldn't load correctly.,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,Building a custom PC,,"Minimizing cost and power consuption, maximizing performance and future proofing.",2,,BS degree,,No,
697,668572ebf69d3ee8c00499f4,0,"""Weight lost/Kilo,Stay healthy/BMI""","[5, 20, 18, 25]","""Diet plan ,Malnutrition.""","[20, 100, 0, 10]","['maximize', 'minimize']","""""",No,,,My experience approaching the optimization task was a good one after the bugs was fixed.,The optimization task is about weight loss  and diet plan.,"['Weight lost', 'Stay healthy']","['Diet plan', 'Malnutrition.']","Yes, specifying objectives is difficult for me.",It takes effort and deep thinking to get a value for the objective.,Hard to set value range of variables/objectives,5,6,7,,,,,"The relationship between variables and objectives are crucial, the value assign to the variable is what will impact the outcome of  the objective.",Yes,,6,6,7,,,,,6,6,5,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,,,,"No, I don't have any experience.",,,,,,,,,Yes,Budget for monthly expenses,,"Variables will be rent and groceries 
Objective will be Savings and expense",1,The tool is a useful tool which I will love to indulge more in how it works.,BS degree,,Yes (Please specify),I have knowledge in computer science.
700,611bf41079ffca32db5a3080,1,"""fruits,vegetables""","[5, 8, 3, 5]","""fruits vitamins,vegetable metabolism rate""","[4, 7, 5, 10]","['maximize', 'maximize']","""""",No,,,it was kind of tricky but i ended up understanding how it works. i also knew which variables to use but was doubtful if they align.,the optimization task requires potential values you would like to achieve the objectives for each variable and measurements. they should be withing the specified ranges.,"['fruits', 'vegetables']","['fruits vitamins', 'vegetable metabolism rate']","No, all are easy for me.",,,5,5,7,,,,,objectives are used to measure variables to achieve the goal.,Yes,,5,5,7,,,,,6,5,7,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,,,I worked with optimization problems in science research.,,,"No, I don't have any experience.",,i haven't worked with any.,No,can't summarize,i think it's a bit complex though it is a great tool,,,,No,daily life is too complex to pick out two variables.,daily life is too complex to transfer to variables.,,,,BS degree,,No,
705,664d01a8e8a3420b747c6c26,1,"""Lose weight,Stay healthy""","[5, 10, 0, 10]",""" Time/months ,Toughness""","[2, 3, 0, 10]","['minimize', 'maximize']","""""",No,,,The task involved optimising a diet plan by coming up with variables and objectives that would help come up with the best solution of how to approach the diet plan.,I specified optimization task based on a diet plan.Whereby my variables were losing weight and stay healthy and my objectives were the time i'll need to lose weight and the toughness level required.,"['Lose weight', 'Stay healthy']","['Time', 'Toughness']","Yes, both specifying variables and specifying objectives are difficult for me.",Coming up with variables and objectives is difficult because they are more likely the same but very different in this context.,"1. Hard to come up with variables
2. Hard to come up with objectives",6,6,6,,,,,Objectives are specific measurable goals that you aim to achieve while variables are like the major things that might affect your intended outcome.,Yes,,7,7,6,,,,,6,5,4,,,,,No,,,,,,"No, I feel all are very clear and easy to understand.",,I worked with optimization problems in design-related tasks.,,I worked with optimization problems in science research.,,,,,"In scientific research, i worked with optimization problem during drug dosage optimization whereby the goal was to determine optimal dosage of drugs anf maximize it's therapeutic effects while minimizing side effects.",Yes,,,Adverse side effects of the drug and efficacy,optimal drug dosage,reasonable,,,,,1,Not really,BS degree,,No,
